song_a,album_a,song_b,album_b,similarity
Feel Me,Rare (Bonus Track Version),Come & Get It (Dave Audé Club Remix),Come & Get It (Remixes),0.6167
Feel Me,Rare (Bonus Track Version),Come & Get It (Fred Falke Club Remix),Come & Get It (Remixes),0.642
Same Old Love,Revival,Me & The Rhythm,Revival,0.6421
Same Old Love,Revival,Can’t Steal Our Love,Unreleased Songs,0.6767
Same Old Love,Revival,Same Old Love (Remix),,0.9018
Same Old Love,Revival,Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.7632
Same Old Love,Revival,Expressing Myself,Unreleased Songs,0.7722
Same Old Love,Revival,Congratulations to Me,Unreleased Songs,0.6044
Same Old Love,Revival,Fetish (Galantis Remix),Helix (Volume 1),0.6708
Same Old Love,Revival,You Don’t Own Me (Cover) / Me & My Girls,,0.6373
Same Old Love,Revival,Unfamiliar (Demo),Unreleased Songs,0.6473
Same Old Love,Revival,Love’s Not Over,Unreleased Songs,0.6316
Same Old Love,Revival,Good For You (Kasbo Remix),Good for You (Remixes),0.6445
Same Old Love,Revival,Good For You (Nebbra Remix),Good for You (Remixes),0.6444
Same Old Love,Revival,Love Will Remember (Demo),Unreleased Songs,0.6305
Same Old Love,Revival,Good For You (Yellow Claw & Cesqeaux Remix),Good for You (Remixes),0.6545
Same Old Love,Revival,Same Old Love (Borgore Remix),Same Old Love (Remixes),0.9403
Same Old Love,Revival,Same Old Love (Filous Remix),Same Old Love (Remixes),0.9203
Same Old Love,Revival,Same Old Love (Romos Remix),Same Old Love (Remixes),0.933
Same Old Love,Revival,Same Old Love (Wuki Remix),Same Old Love (Remixes),0.936
Rare,Rare (Target Exclusive),Rare (Live From The Village Studio),,0.9786
Rare,Rare (Target Exclusive),Rare (80's Version),,0.9772
Vulnerable,Rare (Target Exclusive),Give You Up,Unreleased Songs,0.6462
Vulnerable,Rare (Target Exclusive),Back to You (Anki Remix),,0.6183
Vulnerable,Rare (Target Exclusive),Feel Me (Live from Revival Tour),,0.6012
Vulnerable,Rare (Target Exclusive),Back To You (Kennedy Remix),,0.6328
Vulnerable,Rare (Target Exclusive),The Heart Wants What It Wants (Nightcore Remix),,0.6462
Kill Em With Kindness,Revival,Kill Em With Kindness (Acoustic),,0.9714
Kill Em With Kindness,Revival,Kill Em with Kindness (Felix Cartal Remix),Kill Em With Kindness (Remixes),1.0
Kill Em With Kindness,Revival,Kill Em With Kindness (MAGIX Radio Edit),,0.9728
Kill Em With Kindness,Revival,Kill Em with Kindness (River Tiber Remix),Kill Em With Kindness (Remixes),1.0
Kill Em With Kindness,Revival,Kill Em with Kindness (Young Bombs Remix),Kill Em With Kindness (Remixes),1.0
Ring,Rare (Target Exclusive),Kinda Crazy,Rare (Target Exclusive),0.6037
Ring,Rare (Target Exclusive),Body Heat,Revival,0.6036
Ring,Rare (Target Exclusive),Bang A Drum,Another Cinderella Story - EP,0.6034
Ring,Rare (Target Exclusive),Bang,Unreleased Songs,0.6095
People You Know,Rare (Target Exclusive),Only You,13 Reasons Why (Season 1),0.6123
People You Know,Rare (Target Exclusive),Camouflage,Revival,0.6246
People You Know,Rare (Target Exclusive),Back to You (Anki Remix),,0.6119
People You Know,Rare (Target Exclusive),Back To You (Kennedy Remix),,0.6159
People You Know,Rare (Target Exclusive),Back To You (Nightcore Remix),,0.6156
Only You,13 Reasons Why (Season 1),Camouflage,Revival,0.614
Only You,13 Reasons Why (Season 1),Love Will Remember,Stars Dance,0.6322
Only You,13 Reasons Why (Season 1),Cologne,Revival,0.6222
Only You,13 Reasons Why (Season 1),Forget Forever,Stars Dance,0.6852
Only You,13 Reasons Why (Season 1),Sad Serenade,Unreleased Songs,0.6235
Only You,13 Reasons Why (Season 1),Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6263
Only You,13 Reasons Why (Season 1),Forget Forever (ST£FAN Remix),For You,0.6932
Only You,13 Reasons Why (Season 1),Magical,Wizards of Waverly Place (Songs From & Inspired By the TV Series & Movie),0.6291
Only You,13 Reasons Why (Season 1),A Year Without Rain (Dave Audé Radio Remix),For You,0.6363
Only You,13 Reasons Why (Season 1),Lose You To Love Me (Demo Version),,0.6301
Only You,13 Reasons Why (Season 1),Feel Me (Demo),Unreleased Songs,0.6017
Only You,13 Reasons Why (Season 1),Back to You (Anki Remix),,0.6167
Only You,13 Reasons Why (Season 1),Feel Me (Live from Revival Tour),,0.6561
Only You,13 Reasons Why (Season 1),Back To You (Kennedy Remix),,0.6647
Only You,13 Reasons Why (Season 1),Back To You (Nightcore Remix),,0.6102
Only You,13 Reasons Why (Season 1),My World,,0.6512
A Sweeter Place,Rare (Target Exclusive),Same Old Love (Remix),,0.6266
A Sweeter Place,Rare (Target Exclusive),Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6204
A Sweeter Place,Rare (Target Exclusive),Expressing Myself,Unreleased Songs,0.6621
A Sweeter Place,Rare (Target Exclusive),Same Old Love (Borgore Remix),Same Old Love (Remixes),0.6154
A Sweeter Place,Rare (Target Exclusive),Same Old Love (Filous Remix),Same Old Love (Remixes),0.6214
A Sweeter Place,Rare (Target Exclusive),Same Old Love (Romos Remix),Same Old Love (Remixes),0.6052
A Sweeter Place,Rare (Target Exclusive),Same Old Love (Wuki Remix),Same Old Love (Remixes),0.6171
De Una Vez,Revelación - EP,Bidi Bidi Bom Bom,For You,0.6183
Cut You Off,Rare (Target Exclusive),Sober,Revival,0.687
Cut You Off,Rare (Target Exclusive),I Like It That Way,Stars Dance,0.6032
Cut You Off,Rare (Target Exclusive),Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6067
Cut You Off,Rare (Target Exclusive),Out Of My Head,Unreleased Songs,0.6302
Cut You Off,Rare (Target Exclusive),Back to You (Anki Remix),,0.6436
Cut You Off,Rare (Target Exclusive),Back To You (Kennedy Remix),,0.6577
Cut You Off,Rare (Target Exclusive),Back To You (Nightcore Remix),,0.6535
Perfect,Revival,Perfect (Unreleased),,0.9976
Dance Again,Rare (Target Exclusive),Let Me Get Me,Rare (Target Exclusive),0.6316
Come & Get It,Stars Dance,Come & Get It (Cosmic Dawn Club Remix),Slow Down - EP,0.9212
Come & Get It,Stars Dance,Come & Get It (Jump Smokers Extended Remix),Stars Dance,0.9289
Come & Get It,Stars Dance,Come & Get It (Cahill Club Remix),Come & Get It (Remixes),0.9637
Come & Get It,Stars Dance,Come & Get It (Robert DeLong Remix),Come & Get It (Remixes),0.7698
Come & Get It,Stars Dance,Come & Get It (Dave Audé Club Remix),Come & Get It (Remixes),0.9684
Come & Get It,Stars Dance,Come & Get It (DJ M3 Mixshow Extended Remix),Come & Get It (Remixes),1.0
Come & Get It,Stars Dance,Come & Get It (Fred Falke Club Remix),Come & Get It (Remixes),0.9027
Sober,Revival,I Like It That Way,Stars Dance,0.601
Let Me Get Me,Rare (Target Exclusive),Me & The Rhythm,Revival,0.6228
Let Me Get Me,Rare (Target Exclusive),Save the Day,Stars Dance,0.6063
Let Me Get Me,Rare (Target Exclusive),Great Escape,Unreleased Songs,0.6596
Let Me Get Me,Rare (Target Exclusive),Feel Me (Live from Revival Tour),,0.6057
Let Me Get Me,Rare (Target Exclusive),Slow Down (Jason Nevins Remix),Slow Down (Remixes),0.6027
Kinda Crazy,Rare (Target Exclusive),Nobody Does It Like You,Stars Dance,0.6217
Kinda Crazy,Rare (Target Exclusive),Back To You (Nightcore Remix),,0.6371
Everything Is Not As It Seems,Wizards of Waverly Place (Songs From & Inspired By the TV Series & Movie),Everything Is Not What It Seems (Wizards of Waverly Place Full Theme Song),Disney Channel Playlist,0.8232
Slow Down,Stars Dance,Me & The Rhythm,Revival,0.6169
Slow Down,Stars Dance,Shake It Up,Shake It Up: Break It Down ,0.6508
Slow Down,Stars Dance,Nobody Does It Like You,Stars Dance,0.6004
Slow Down,Stars Dance,Praise You,Unreleased Songs,0.6152
Slow Down,Stars Dance,Shake It Up (Theme Song) [Cole Plante Reboot Remix],Shake It Up: I ♡ Dance,0.6553
Slow Down,Stars Dance,Redlight,,0.6262
Slow Down,Stars Dance,Bang,Unreleased Songs,0.6322
Slow Down,Stars Dance,Great Escape,Unreleased Songs,0.6128
Slow Down,Stars Dance,Slow Down (Paolo Ortelli & Luke Degree Remix),Slow Down (Remixes),0.997
Slow Down,Stars Dance,Come & Get It (Cosmic Dawn Club Remix),Slow Down - EP,0.6174
Slow Down,Stars Dance,Slow Down (Chew Fu Refix),Slow Down (Remixes),0.9284
Slow Down,Stars Dance,Slow Down (Smash Mode Remix),Slow Down (Remixes),0.9216
Slow Down,Stars Dance,Slow Down (DJLW Remix),Slow Down (Remixes),0.997
Slow Down,Stars Dance,Slow Down (Jason Nevins Remix),Slow Down (Remixes),0.9861
Slow Down,Stars Dance,Slow Down (Danny Verde Remix),Slow Down (Remixes),0.874
Slow Down,Stars Dance,Come & Get It (Fred Falke Club Remix),Come & Get It (Remixes),0.6077
Me & My Girls,Revival,Undercover,Stars Dance,0.6119
Me & My Girls,Revival,You Don’t Own Me (Cover) / Me & My Girls,,0.8454
Camouflage,Revival,Love Will Remember,Stars Dance,0.6199
Camouflage,Revival,Cologne,Revival,0.6763
Camouflage,Revival,Same Old Love (Remix),,0.6064
Camouflage,Revival,Forget Forever,Stars Dance,0.6211
Camouflage,Revival,Nobody Does It Like You,Stars Dance,0.6029
Camouflage,Revival,Wild Love,Unreleased Songs,0.6004
Camouflage,Revival,Sad Serenade,Unreleased Songs,0.6014
Camouflage,Revival,Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6797
Camouflage,Revival,Give You Up,Unreleased Songs,0.6435
Camouflage,Revival,Forget Forever (ST£FAN Remix),For You,0.6171
Camouflage,Revival,Magical,Wizards of Waverly Place (Songs From & Inspired By the TV Series & Movie),0.6027
Camouflage,Revival,Great Escape,Unreleased Songs,0.6331
Camouflage,Revival,Back to You (Anki Remix),,0.6454
Camouflage,Revival,Feel Me (Live from Revival Tour),,0.6428
Camouflage,Revival,Back To You (Kennedy Remix),,0.7002
Camouflage,Revival,Same Old Love (Borgore Remix),Same Old Love (Remixes),0.6235
Camouflage,Revival,Same Old Love (Filous Remix),Same Old Love (Remixes),0.6136
Camouflage,Revival,Same Old Love (Romos Remix),Same Old Love (Remixes),0.6336
Camouflage,Revival,Back To You (Nightcore Remix),,0.6925
Camouflage,Revival,The Heart Wants What It Wants (Nightcore Remix),,0.6435
Camouflage,Revival,Same Old Love (Wuki Remix),Same Old Love (Remixes),0.6218
Nobody,Revival,Undercover,Stars Dance,0.6041
Nobody,Revival,Nobody Does It Like You,Stars Dance,0.6265
Nobody,Revival,Feel Me (Live from Revival Tour),,0.6305
Me & The Rhythm,Revival,Cologne,Revival,0.6163
Me & The Rhythm,Revival,Body Heat,Revival,0.6293
Me & The Rhythm,Revival,Undercover,Stars Dance,0.6315
Me & The Rhythm,Revival,Same Old Love (Remix),,0.6274
Me & The Rhythm,Revival,Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.616
Me & The Rhythm,Revival,Expressing Myself,Unreleased Songs,0.6655
Me & The Rhythm,Revival,Fetish (Galantis Remix),Helix (Volume 1),0.6099
Me & The Rhythm,Revival,You Don’t Own Me (Cover) / Me & My Girls,,0.636
Me & The Rhythm,Revival,Slow Down (Paolo Ortelli & Luke Degree Remix),Slow Down (Remixes),0.6145
Me & The Rhythm,Revival,Feel Me (Live from Revival Tour),,0.6407
Me & The Rhythm,Revival,Slow Down (Smash Mode Remix),Slow Down (Remixes),0.6135
Me & The Rhythm,Revival,Slow Down (DJLW Remix),Slow Down (Remixes),0.6145
Me & The Rhythm,Revival,Good For You (Yellow Claw & Cesqeaux Remix),Good for You (Remixes),0.6097
Me & The Rhythm,Revival,Same Old Love (Borgore Remix),Same Old Love (Remixes),0.6376
